Kod,Ders,Eğitmen(ler),Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm sınırlaması,CRN,Term
ATA 122,Atatürk İlk & İnkılap Trh II,Burcu Kurt,Salı,0830/1029,,0.0,0,AIN ARC BIO BIOE BLG BLGE CEN CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EEE EFN EHB EHBE EHN ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IAD ICM IML IMLE IND INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MEN MET METE MIM MIME MMD MTM MTO MTOE NAE PEM PEME PET PETE SBP SBPE STP TEK TEKE TEL THO UCK UCKE UZB UZBE YZVE,11097.0,2022 - 2023 Güz Dönemi
KIM 101EL,General Chemistry I Lab,Cüneyt Hüseyin Ünlü,Pazartesi,1530/1729,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UZB UZBE,15824.0,2017 - 2018 Güz Dönemi
FIZ 101,Fizik I,--,Perşembe,0830/1129,MED,0.0,0,BLG DUI EHB ELE ELH ELK END FIZM GEM GID GMI INS ISL JEO KMM KMMM KOM KON MAT MET MTO TEL UCKM,20062.0,2017 - 2018 Bahar Dönemi
MAT 104,Matematik II,--,Perşembe Perşembe,0830/1129 1230/1429,FEB FEB,0.0,0,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20646.0,2018 - 2019 Bahar Dönemi
MAT 104,Matematik II,--,Pazartesi Salı,0830/1129 1130/1329,FEB FEB,0.0,0,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20577.0,2018 - 2019 Bahar Dönemi
MAT 104E,Mathematics II,--,Perşembe Cuma,1230/1429 1430/1729,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20680.0,2018 - 2019 Bahar Dönemi
MAT 104E,Mathematics II,--,Perşembe Perşembe,0830/1129 1230/1429,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20674.0,2018 - 2019 Bahar Dönemi
MAT 104E,Mathematics II,--,Pazartesi Salı,1230/1429 1430/1729,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20668.0,2018 - 2019 Bahar Dönemi
MAT 104E,Mathematics II,--,Pazartesi Salı,0830/1129 1130/1329,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20659.0,2018 - 2019 Bahar Dönemi
KIM 212E,Instrumental Analytic. Methods,--,Pazartesi Salı,1130/1329 1130/1329,FEB FEB,0.0,0,KIM KIME,12171.0,2018 - 2019 Güz Dönemi
MAT 210E,Engineering Mathematics,--,Perşembe Perşembe,0830/1029 1230/1429,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20712.0,2018 - 2019 Bahar Dönemi
MAT 210E,Engineering Mathematics,--,Pazartesi Salı,1230/1429 1530/1729,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20708.0,2018 - 2019 Bahar Dönemi
MAT 210E,Engineering Mathematics,--,Pazartesi Salı,0830/1029 1130/1329,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20703.0,2018 - 2019 Bahar Dönemi
MAT 261,Lineer Cebir,--,Perşembe,0830/1129,FEB,0.0,0,BIO BIOE DEN DENE ELH END ENDE FIZ FIZE FIZM GEM GEME GEO GEOE INS INSE ISL ISLE JDF JEF JEFE KMM KMME MAD MADE MTO MTOE TEK TEKE UCK UCKE UZB UZBE,25425.0,2018 - 2019 Bahar Dönemi
MAT 261E,Linear Algebra,--,Perşembe,0830/1129,FEB,0.0,0,BIO BIOE DEN DENE ELH END ENDE FIZ FIZE FIZM GEM GEME GEO GEOE INS INSE ISL ISLE JDF JEF JEFE KMM KMME MAD MADE MTO MTOE TEK TEKE UCK UCKE UZB UZBE,25434.0,2018 - 2019 Bahar Dönemi
KIM 231E,Organic Chemistry I,--,Salı Cuma,0830/1029 0830/1029,FEB FEB,0.0,0,KIME,14271.0,2018 - 2019 Güz Dönemi
FIZ 102E,Physics II,--,Salı,0830/1129,MED,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE FIZM GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM YZVE,20371.0,2021 - 2022 Bahar Dönemi
MAT 271E,Probability and Statistics,--,Salı,1330/1629,EEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE EHN ELE ELH ELK ELKE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE SBP SBPE SEH TEK TEKE TEL UCK UCKE UZB UZBE,21485.0,2018 - 2019 Bahar Dönemi
MAT 332E,Real Analysis I,--,Pazartesi Salı,1230/1429 1130/1329,FEB FEB,0.0,0,MAT MATE MATM,25524.0,2018 - 2019 Bahar Dönemi
KIM 252E,Chemical Thermodynamics,--,Pazartesi,0830/1129,FEB,0.0,0,KIME,12152.0,2018 - 2019 Güz Dönemi
FIZ 102E,Physics II,--,Çarşamba,0830/1129,MED,0.0,0,BIO BIOE BLG BLGE CEN CEV CEVE CHZ CHZE DEN DENE EEE EHB EHBE ELK ELKE END ENDE FIZM GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM YZVE,20385.0,2021 - 2022 Bahar Dönemi
MAT 417E,Theory of Surfaces,--,Salı,1430/1729,FEB,0.0,0,FIZ FIZE MAT MATE,20467.0,2018 - 2019 Bahar Dönemi
KIM 312E,Physical Chemistry II,--,Salı,0830/1129,FEB,0.0,0,KIME,12168.0,2018 - 2019 Güz Dönemi
MAT 437,Reel Analiz II,--,Pazartesi,1430/1729,FEB,0.0,0,MAT,21208.0,2018 - 2019 Bahar Dönemi
KIM 313E,Structural Organic Chemistry,--,Cuma,1330/1629,MED,0.0,0,BIO BIOE KIM KIME KIMM KMM KMME,12099.0,2018 - 2019 Güz Dönemi
KIM 319E,Cosmetic Chemistry,--,Çarşamba,0830/1129,FEB,0.0,0,KIM KIME KIMM,12101.0,2018 - 2019 Güz Dönemi
KIM 325E,Intr. to Bioinorganic Chem.,--,Çarşamba,1230/1529,MED,0.0,0,KIM KIME KIMM,11969.0,2018 - 2019 Güz Dönemi
MAT 103,Matematik I,--,Perşembe Cuma,0830/1129 1330/1529,MED MED,0.0,0,BIO CEV CHZ DEN END FIZ GEM GEMM GEO GID IML ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,10570.0,2018 - 2019 Güz Dönemi
MAT 103,Matematik I,--,Perşembe Cuma,0830/1129 1330/1529,MED MED,0.0,0,BIO CEV CHZ DEN END FIZ GEM GEMM GEO GID IML ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,10566.0,2018 - 2019 Güz Dönemi
MAT 103,Matematik I,--,Çarşamba Perşembe,0830/1129 1330/1529,MED MED,0.0,0,BIO CEV CHZ DEN END FIZ GEM GEMM GEO GID IML ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,10561.0,2018 - 2019 Güz Dönemi
MAT 103E,Mathematics I,--,Perşembe Cuma,0830/1129 1330/1529,EEB EEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMM GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10618.0,2018 - 2019 Güz Dönemi
MAT 104,Matematik II,--,Pazartesi Salı,1230/1429 1430/1729,FEB FEB,0.0,0,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20641.0,2018 - 2019 Bahar Dönemi
MAT 104,Matematik II,--,Perşembe Cuma,1230/1429 1430/1729,FEB FEB,0.0,0,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20651.0,2018 - 2019 Bahar Dönemi
TUR 122,Türk Dili II,--,Salı,1530/1729,,0.0,0,BIO BIOE BLG BLGE BST CAB CEB CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MBI MCB MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE MZT PEM PEME PET PETE SBL SBP SBPE SCE SDU SED SEH SEK SEN SES SGI SGM SIN SIS SMT STP TEK TEKE TEL THO UCK UCKE UZB UZBE YZVE,25831.0,2021 - 2022 Bahar Dönemi
TUR 101,Türk Dili I,--,Perşembe,1330/1529,DZB,0.0,0,SDU SGM,13356.0,2019 - 2020 Güz Dönemi
FIZ 102EL,Physics II Laboratory,--,Pazartesi,1530/1729,FEB,0.0,0,BIO BIOE BLG BLGE CEN CEV CEVE CHZ CHZE DEN DENE EEE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20453.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Salı,0930/1129,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20458.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Salı,1130/1329,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20463.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Salı,1330/1529,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20475.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Salı,1530/1729,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20483.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Perşembe,0930/1129,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20495.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Perşembe,1130/1329,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20508.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Perşembe,1330/1529,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20515.0,2021 - 2022 Bahar Dönemi
KIM 101EL,General Chemistry I Lab,--,Pazartesi,0930/1129,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UZB UZBE,10577.0,2018 - 2019 Güz Dönemi
FIZ 102EL,Physics II Laboratory,--,Perşembe,1530/1729,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20520.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Cuma,0930/1129,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20547.0,2021 - 2022 Bahar Dönemi
KIM 104E,Organic Chemistry,--,Çarşamba,1230/1529,KMB,0.0,0,GID GIDE KIM KIMM KMM KMME,11975.0,2018 - 2019 Güz Dönemi
KIM 111E,General Chemistry I,--,Pazartesi Çarşamba,1130/1329 1330/1529,FEB MED,0.0,0,KIM KIME KIMM,11982.0,2018 - 2019 Güz Dönemi
KIM 202,Fiziksel Kimya,--,Pazartesi,1330/1629,MED,0.0,0,BIO CEV CHZ DEN DUI ELE ELH ELK GEM GID GMI JEO KIMM KMM KYD MAD MET PET TEL,11986.0,2018 - 2019 Güz Dönemi
FIZ 102EL,Physics II Laboratory,--,Cuma,1130/1329,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20553.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Cuma,1330/1529,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20563.0,2021 - 2022 Bahar Dönemi
FIZ 102EL,Physics II Laboratory,--,Cuma,1530/1729,FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UZB UZBE YZVE,20578.0,2021 - 2022 Bahar Dönemi
KIM 204E,General Chemistry II,--,Çarşamba,0830/1129,MED,0.0,0,CHZE DENE GEME GEMK GMI GMIE JEOE MADE METE PETE,11967.0,2018 - 2019 Güz Dönemi
MAT 103,Matematik I,--,Perşembe Cuma,1230/1429 1430/1729,FEB FEB,0.0,0,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20535.0,2018 - 2019 Bahar Dönemi
MAT 103,Matematik I,--,Perşembe Perşembe,0830/1129 1230/1429,FEB FEB,0.0,0,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20530.0,2018 - 2019 Bahar Dönemi
MAT 103,Matematik I,--,Pazartesi Salı,1230/1429 1430/1729,FEB FEB,0.0,0,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20524.0,2018 - 2019 Bahar Dönemi
MAT 103,Matematik I,--,Pazartesi Salı,0830/1129 1130/1329,FEB FEB,0.0,0,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20516.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,--,Perşembe Cuma,1230/1429 1430/1729,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20568.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,--,Perşembe Perşembe,0830/1129 1230/1429,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20557.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,--,Pazartesi Salı,1230/1429 1430/1729,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20549.0,2018 - 2019 Bahar Dönemi
FIZ 102E,Physics II,--,Pazartesi,1430/1729,MED,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELK ELKE END ENDE FIZM GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM YZVE,20348.0,2021 - 2022 Bahar Dönemi
MAT 103E,Mathematics I,--,Pazartesi Salı,0830/1129 1130/1329,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20540.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,--,Çarşamba Perşembe,0830/1129 1330/1529,FEB FEB,0.0,0,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMM GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10640.0,2018 - 2019 Güz Dönemi
